,Group,Title,Member,keyword,thumbnail
10,FIFTY FIFTY,Cupid,시오,"['노래', '목소리', '사랑해', '피프티', '음색']",
11,FIFTY FIFTY,Cupid,아란,"['목소리', '음색', '노래', '피프티', '멤버']",
12,FIFTY FIFTY,Cupid,아테나,"['목소리', '사장', '월급', '큐피드', '사랑해']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%8B%E1%85%A1%E1%84%90%E1%85%A6%E1%84%82%E1%85%A1.jpeg?raw=true
13,FIFTY FIFTY,Cupid,예원,"['큐피드', '피프티', '예감', '사랑해']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%8B%E1%85%A8%E1%84%8B%E1%85%AF%E1%86%AB.jpeg?raw=true
14,FIFTY FIFTY,Cupid,키나,"['피프티', '화이팅', '노래', '응원', '멤버']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%8F%E1%85%B5%E1%84%82%E1%85%A1.jpeg?raw=true
15,FIFTY FIFTY,Cupid,하나,"['노래', '멤버', '소속사', '대표', '얼굴']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%92%E1%85%A1%E1%84%82%E1%85%A1.jpeg?raw=true
16,FIFTY FIFTY,Higher,문샤넬,"['여서', '실력', '비교', '걱정', '출발']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%86%E1%85%AE%E1%86%AB%E1%84%89%E1%85%A3%E1%84%82%E1%85%A6%E1%86%AF.jpeg?raw=true
17,FIFTY FIFTY,Higher,새나,"['노래', '분량', '죽음', '애가', '보컬']",
18,FIFTY FIFTY,Higher,시오,"['보컬', '음색', '멤버', '노래', '아이돌']",
19,FIFTY FIFTY,Higher,아란,"['음색', '목소리', '보컬', '노래', '멤버']",
20,FIFTY FIFTY,Higher,아테나,"['출발', '전환', '전달', '응원', '요로']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%8B%E1%85%A1%E1%84%90%E1%85%A6%E1%84%82%E1%85%A1.jpeg?raw=true
21,FIFTY FIFTY,Higher,예원,"['출발', '전환', '전달', '응원', '요로']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%8B%E1%85%A8%E1%84%8B%E1%85%AF%E1%86%AB.jpeg?raw=true
22,FIFTY FIFTY,Higher,키나,"['노래', '화이팅', '파트', '응원', '음색']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%8F%E1%85%B5%E1%84%82%E1%85%A1.jpeg?raw=true
23,FIFTY FIFTY,Higher,하나,"['노래', '뮤비', '대표', '투자', '스타일']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%92%E1%85%A1%E1%84%82%E1%85%A1.jpeg?raw=true
24,FIFTY FIFTY,Lovin' Me,문샤넬,"['프로', '최근', '주축', '음색', '유일']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%86%E1%85%AE%E1%86%AB%E1%84%89%E1%85%A3%E1%84%82%E1%85%A6%E1%86%AF.jpeg?raw=true
25,FIFTY FIFTY,Lovin' Me,새나,"['노래', '화이팅', '텔미', '곡임', '듀엣곡']",
26,FIFTY FIFTY,Lovin' Me,시오,"['노래', '목소리', '데뷔', '보컬', '텔미']",
27,FIFTY FIFTY,Lovin' Me,아란,"['텔미', '음색', '노래', '화이팅', '보컬']",
28,FIFTY FIFTY,Lovin' Me,키나,"['화이팅', '노래', '텔미', '분량', '배신']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%8F%E1%85%B5%E1%84%82%E1%85%A1.jpeg?raw=true
