group,title,member,keyword,thumbnail
tripleS,All,주빈,"['혹시', '멤버', '센터', '왼쪽', '화이팅']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8C%E1%85%AE%E1%84%87%E1%85%B5%E1%86%AB.jpeg?raw=true
tripleS,All,지연,"['노래', '사랑해', '뮤비', '데뷔', '윤서']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8C%E1%85%B5%E1%84%8B%E1%85%A7%E1%86%AB.jpeg?raw=true
tripleS,All,카에데,"['화이팅', '음색', '노래', '데뷔', '라이']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8F%E1%85%A1%E1%84%8B%E1%85%A6%E1%84%83%E1%85%A6.jpeg?raw=true
tripleS,All,코토네,"['데뷔', '노래', '사랑해', '분량', '에볼루션']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8F%E1%85%A9%E1%84%90%E1%85%A9%E1%84%82%E1%85%A6.jpeg?raw=true
tripleS,Cherry Gene,공유빈,"['음악', '와우', '리믹스', '공유']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%A9%E1%86%BC%E1%84%8B%E1%85%B2%E1%84%87%E1%85%B5%E1%86%AB.jpeg?raw=true
tripleS,Cherry Gene,김나경,"['안무가', '버전', '멤버', '댄스', '노래']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%B5%E1%86%B7%E1%84%82%E1%85%A1%E1%84%80%E1%85%A7%E1%86%BC.jpeg?raw=true
tripleS,Cherry Gene,린,"['퀄리티', '찬양', '진심', '유튜브', '원함']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%85%E1%85%B5%E1%86%AB.jpeg?raw=true
tripleS,Cherry Gene,정혜린,"['레이', '크아', '노래', '퍼포', '시드']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8C%E1%85%A5%E1%86%BC%E1%84%92%E1%85%A8%E1%84%85%E1%85%B5%E1%86%AB.jpeg?raw=true
tripleS,Cherry Talk,공유빈,"['화이팅', '노력', '사랑해', '소속사', '음방']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%A9%E1%86%BC%E1%84%8B%E1%85%B2%E1%84%87%E1%85%B5%E1%86%AB.jpeg?raw=true
tripleS,Cherry Talk,곽연지,"['노래', '유닛', '크아', '멘션', '체리']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%AA%E1%86%A8%E1%84%8B%E1%85%A7%E1%86%AB%E1%84%8C%E1%85%B5.jpeg?raw=true
tripleS,Cherry Talk,김나경,"['화이팅', '노력', '사랑해', '소속사', '음방']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%B5%E1%86%B7%E1%84%82%E1%85%A1%E1%84%80%E1%85%A7%E1%86%BC.jpeg?raw=true
tripleS,Cherry Talk,김수민,"['뮤비', '크아', '화이팅', '홧팅', '음원']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%B5%E1%86%B7%E1%84%89%E1%85%AE%E1%84%86%E1%85%B5%E1%86%AB.jpeg?raw=true
tripleS,Cherry Talk,김유연,"['역대', '데뷔', '노력', '사랑해', '소속사']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%B5%E1%86%B7%E1%84%8B%E1%85%B2%E1%84%8B%E1%85%A7%E1%86%AB.jpeg?raw=true
